Identifier,NodeType,followers,Following,connections,Degree
kbseah,leaf-user,,,,2
kbyyd24,leaf-user,,,,2
kc910521,user,11,24,35,24
kdchang,leaf-user,,,,4
kdd23,leaf-user,,,,4
kdmurray91,leaf-user,,,,3
kdplus,leaf-user,,,,2
KDr2,leaf-user,,,,2
kdubbels,user,3,5,8,6
kdzwinel,leaf-user,,,,5
kedebug,leaf-user,,,,4
keefo,leaf-user,,,,2
keegandonley,leaf-user,,,,4
KeeganRen,leaf-user,,,,2
keepfool,leaf-user,,,,4
keer2345,leaf-user,,,,2
keijiro,leaf-user,,,,5
keisukemitsumoto,leaf-user,,,,2
keithamus,leaf-user,,,,2
keithwhor,leaf-user,,,,2
kejinlu,user,51,18,69,71
kejun,leaf-user,,,,15
kekee000,leaf-user,,,,2
kele527,leaf-user,,,,2
Kelichao,leaf-user,,,,3
Kelin-Hong,leaf-user,,,,2
Kell-Wang,leaf-user,,,,2
kelonye,user,51,51,102,85
kelseyhightower,leaf-user,,,,7
kelvinguu,leaf-user,,,,3
kemitchell,leaf-user,,,,2
ken,leaf-user,,,,5
ken7feng,leaf-user,,,,2
kenarai,leaf-user,,,,2
kenberkeley,leaf-user,,,,7
kenders2000,user,4,1,5,4
kener,leaf-user,,,,6
kenjinote,leaf-user,,,,3
kenjiro7,leaf-user,,,,4
kenjiSpecial,leaf-user,,,,2
kenju254,leaf-user,,,,3
KennedyTedesco,user,51,51,102,89
kenneth,leaf-user,,,,2
kennethlove,leaf-user,,,,2
kennethreitz,leaf-user,,,,85
kennetpostigo,leaf-user,,,,3
kennygrant,leaf-user,,,,2
KennyLee-Taiwan,leaf-user,,,,2
kennyluck,leaf-user,,,,4
KennyMack,user,6,30,36,32
Keno,leaf-user,,,,4
kenpusney,leaf-user,,,,2
kenshinji,user,51,51,102,102
kenspirit,leaf-user,,,,2
kentcdodds,leaf-user,,,,5
KentChun33333,leaf-user,,,,2
kentdlee,user,17,0,17,17
kentlj,leaf-user,,,,3
kentonv,leaf-user,,,,2
kenwheeler,leaf-user,,,,8
keonkim,leaf-user,,,,4
ke-pan,leaf-user,,,,2
keppelen,leaf-user,,,,2
kerick-jeff,user,5,11,16,12
KernelMonkey,leaf-user,,,,2
kerryjiang,leaf-user,,,,4
kesenhoo,leaf-user,,,,11
kessler,leaf-user,,,,2
keunlee,leaf-user,,,,2
keunwoochoi,leaf-user,,,,3
kevin1999,leaf-user,,,,2
Kevin8756,leaf-user,,,,12
KevinBacas,leaf-user,,,,2
Kevin-C-Bell,leaf-user,,,,5
kevindragon,leaf-user,,,,3
kevingzhang,leaf-user,,,,2
kevinho,leaf-user,,,,4
kevinmel2000,leaf-user,,,,2
KevinOfNeu,leaf-user,,,,4
kevinpetit,leaf-user,,,,2
kevinsawicki,leaf-user,,,,20
KevinsBobo,user,8,9,17,12
kevintvh,leaf-user,,,,2
kevinushey,leaf-user,,,,5
kevinyma,leaf-user,,,,2
Kevinzhjy,leaf-user,,,,2
kevinzhow,leaf-user,,,,6
kevinzwhuang,leaf-user,,,,2
kevva,leaf-user,,,,6
kexanie,user,33,51,84,83
KEY1993,leaf-user,,,,3
keyanzhang,leaf-user,,,,5
keyapril,leaf-user,,,,2
Keystion,leaf-user,,,,4
keyvanakbary,leaf-user,,,,3
kfalconspb,user,51,51,102,142
kfitfk,leaf-user,,,,2
kg,leaf-user,,,,2
kgn,leaf-user,,,,2
kgourgou,leaf-user,,,,2
khaledkhalil94,leaf-user,,,,2
khalidmahmud,leaf-user,,,,3
khanlou,leaf-user,,,,2
KhaosT,leaf-user,,,,2
khaueviana,leaf-user,,,,2
kholia,leaf-user,,,,2
khotyn,leaf-user,,,,2
ki4wangdy,user,13,51,64,58
kibersyn,leaf-user,,,,5
kidapu,leaf-user,,,,2
kiddlu,leaf-user,,,,3
kiflay,leaf-user,,,,2
Kikobeats,leaf-user,,,,2
kikoshoung,leaf-user,,,,2
kikoso,leaf-user,,,,4
KIKOU2016,leaf-user,,,,3
Kilbourne,leaf-user,,,,3
kilfu0701,leaf-user,,,,2
killbug2004,leaf-user,,,,4
KillingJacky,leaf-user,,,,2
killme2008,leaf-user,,,,3
killvxk,leaf-user,,,,7
KimiGao,leaf-user,,,,2
kimmking,leaf-user,,,,2
kindoprec,leaf-user,,,,5
kingcons,leaf-user,,,,2
kingdido999,leaf-user,,,,2
kingfo,leaf-user,,,,2
kingschan1204,leaf-user,,,,5
Kingstonsunder,leaf-user,,,,2
kingvision,leaf-user,,,,2
Kingwl,leaf-user,,,,2
kingxiusam,leaf-user,,,,2
kinosang,leaf-user,,,,3
kinvix,leaf-user,,,,2
Kiran-r,leaf-user,,,,2
KirillOsenkov,leaf-user,,,,4
kirozhao,leaf-user,,,,5
kisekied,leaf-user,,,,5
kiseliu,user,2,8,10,10
kisese,leaf-user,,,,2
kisielk,leaf-user,,,,2
kislyuk,leaf-user,,,,4
kisnows,leaf-user,,,,2
kittens,leaf-user,,,,14
KittenYang,leaf-user,,,,2
kiwenlau,user,51,6,57,57
kiwi4py,user,5,12,17,12
kix,leaf-user,,,,2
kizu,leaf-user,,,,2
kj2008sss,leaf-user,,,,2
kjirou,leaf-user,,,,2
KJlmfe,leaf-user,,,,2
Kjuly,user,51,24,75,77
kjw0612,leaf-user,,,,4
kk71,user,24,31,55,43
kkdai,leaf-user,,,,4
klajd,leaf-user,,,,10
klaussilveira,leaf-user,,,,2
klederson,leaf-user,,,,2
klen,leaf-user,,,,2
klihelp,leaf-user,,,,3
klion26,leaf-user,,,,2
klovelovely,leaf-user,,,,2
klugjo,leaf-user,,,,2
kmdjs,leaf-user,,,,2
kmfe,leaf-user,,,,2
knewter,leaf-user,,,,4
knightliao,leaf-user,,,,3
Knio,leaf-user,,,,2
knowbody,leaf-user,,,,2
knoxcu,leaf-user,,,,4
knsamati,leaf-user,,,,2
koblin,leaf-user,,,,2
KochiyaOcean,leaf-user,,,,3
kocokolo,leaf-user,,,,5
koeninger,leaf-user,,,,2
koenpunt,leaf-user,,,,2
koheishingai,leaf-user,,,,2
KoJiang,leaf-user,,,,2
kolf,leaf-user,,,,7
kolodny,leaf-user,,,,2
komeiji-satori,leaf-user,,,,2
komiya-atsushi,leaf-user,,,,2
KommuSoft,user,51,51,102,75
komutsatiri,leaf-user,,,,2
kong88,leaf-user,,,,2
KONGFANJI,leaf-user,,,,2
konglingjuanyi,leaf-user,,,,2
KongXianghuan,leaf-user,,,,2
konieshadow,user,30,47,77,57
konifar,leaf-user,,,,3
konklone,leaf-user,,,,2
konmik,leaf-user,,,,2
konojunya,leaf-user,,,,2
konrad,user,51,7,58,57
konradjk,leaf-user,,,,2
koobs,leaf-user,,,,2
koodlelab,user,8,0,8,8
kopasetik,leaf-user,,,,5
koral--,user,51,3,54,54
kosamari,user,51,0,51,51
koth,leaf-user,,,,2
kotishe,user,51,51,102,81
kotobukki,leaf-user,,,,5
koudelka,user,41,22,63,51
koush,user,51,14,65,80
kousiksatish,leaf-user,,,,2
kpdecker,leaf-user,,,,2
kpse,leaf-user,,,,2
kpwn,leaf-user,,,,3
kpzhang93,leaf-user,,,,2
kr,leaf-user,,,,3
kraih,leaf-user,,,,2
krakjoe,leaf-user,,,,2
kraniasorestis,leaf-user,,,,2
krasimir,user,51,51,102,104
KrauseFx,leaf-user,,,,3
Kriesse,leaf-user,,,,2
kripken,leaf-user,,,,7
krishaamer,leaf-user,,,,2
krishh2512,user,4,7,11,10
KrishMunot,leaf-user,,,,5
krishnarb3,leaf-user,,,,2
krisjin,leaf-user,,,,2
kriskowal,leaf-user,,,,9
KristinaB-MLSSecDev,user,2,6,8,7
KristineMcNerney,leaf-user,,,,2
kriswallsmith,leaf-user,,,,5
krisxoofoo,leaf-user,,,,3
krlmlr,leaf-user,,,,3
krosti,leaf-user,,,,2
KRQW,leaf-user,,,,2
krysits,leaf-user,,,,8
krystalJenny,leaf-user,,,,3
krzychukula,user,21,51,72,68
KrzysztofWojtowicz,leaf-user,,,,2
krzysztofzablocki,leaf-user,,,,4
kshark27,leaf-user,,,,2
kshitij10496,leaf-user,,,,8
ksiddana,leaf-user,,,,2
ksky521,user,51,17,68,76
ksmaheshkumar,leaf-user,,,,2
ksmvsn,leaf-user,,,,2
kspine,leaf-user,,,,14
ksr1122,user,9,40,49,43
kstenerud,leaf-user,,,,2
kthompson,user,28,33,61,51
ktkization,leaf-user,,,,2
ktmud,leaf-user,,,,5
ktoso,leaf-user,,,,3
ktsaou,leaf-user,,,,2
kuangrs,leaf-user,,,,2
kucerarichard,leaf-user,,,,2
kugwzk,leaf-user,,,,2
kuina,leaf-user,,,,4
kuitos,leaf-user,,,,2
kujian,leaf-user,,,,7
Kulbear,leaf-user,,,,3
kumarkrishna,leaf-user,,,,2
kumarmj,leaf-user,,,,2
kun391,user,24,30,54,37
kunkaiHuang,leaf-user,,,,2
kunkun12,leaf-user,,,,2
Kureev,leaf-user,,,,5
kureikain,leaf-user,,,,3
KuroGuo,leaf-user,,,,3
Kuroky360,user,17,51,68,61
kuroski,leaf-user,,,,2
kusha-b-k,leaf-user,,,,8
kushagraagrawal,user,16,51,67,58
Kushalexpert,leaf-user,,,,2
kuy,leaf-user,,,,3
kvkens,user,24,51,75,69
kvukusic1,user,1,2,3,3
kvz,leaf-user,,,,2
kxl2005,leaf-user,,,,2
kxxoling,user,51,25,76,74
ky0ncheng,leaf-user,,,,6
KyleAMathews,leaf-user,,,,3
KyleBanks,leaf-user,,,,2
kyledrake,leaf-user,,,,2
kylef,leaf-user,,,,2
kylekaykim,leaf-user,,,,2
kylemcdonald,leaf-user,,,,3
KylenXu,leaf-user,,,,2
kymjs,user,51,51,102,107
kyoyadmoon,leaf-user,,,,2
KyraD,leaf-user,,,,2
KyssLi,user,2,6,8,6
kytrinyx,leaf-user,,,,2
kytwb,leaf-user,,,,4
kyunghyuncho,leaf-user,,,,3
kyze8439690,leaf-user,,,,9
l2x,user,26,51,77,77
l3lackcurtains,leaf-user,,,,2
l5h5t7,leaf-user,,,,2
L8D,user,38,5,43,41
l932364,leaf-user,,,,3
LabsDotCoop,user,6,25,31,29
ladyada,leaf-user,,,,2
lagelalegal,leaf-user,,,,3
laichanwai,leaf-user,,,,2
laiconglin,leaf-user,,,,2
laijs,leaf-user,,,,2
laike9m,leaf-user,,,,6
laincat,leaf-user,,,,2
laispace,leaf-user,,,,6
laiwei,leaf-user,,,,4
laizuling,leaf-user,,,,2
laketea,leaf-user,,,,3
lakshaykalbhor,user,21,44,65,59
lakshitha212,leaf-user,,,,4
lakshmanaram,leaf-user,,,,3
lalitkale,leaf-user,,,,2
lalo-lh,leaf-user,,,,2
lalusaud,leaf-user,,,,2
lambainsaan,leaf-user,,,,2
lambdacn,leaf-user,,,,3
lamber-k,user,2,0,2,2
lammmmmmm,user,2,8,10,8
LaMonF,leaf-user,,,,2
lanastasov,leaf-user,,,,2
lanbing510,leaf-user,,,,4
lanceli,leaf-user,,,,2
lancelot801,leaf-user,,,,3
lanceWan,user,37,0,37,37
lancy,leaf-user,,,,7
lando10,user,1,24,25,24
LandyGuo,user,51,51,102,84
Lanfei,user,51,51,102,95
langw,leaf-user,,,,2
LangZhai,user,6,6,12,6
lanqy,leaf-user,,,,4
Lansoweb,leaf-user,,,,2
lanxuezaipiao,leaf-user,,,,7
laobie,leaf-user,,,,5
laogong,user,12,35,47,44
laohanlinux,leaf-user,,,,2
lapanoid,leaf-user,,,,2
lapis-zero09,leaf-user,,,,2
laplaceyang,leaf-user,,,,2
laracasts,leaf-user,,,,11
larryzhao,leaf-user,,,,2
laruence,leaf-user,,,,34
lastranikos,leaf-user,,,,2
laszlopandy,leaf-user,,,,2
latentflip,leaf-user,,,,2
lattner,leaf-user,,,,8
LaudOak,leaf-user,,,,5
laura7succes,leaf-user,,,,3
lauraluo,leaf-user,,,,3
lauthu,leaf-user,,,,2
laverdet,leaf-user,,,,2
lavvy,leaf-user,,,,2
Lax,leaf-user,,,,2
lay1010,leaf-user,,,,2
layumi,leaf-user,,,,2
LazarusX,user,22,32,54,40
lazybios,leaf-user,,,,4
lazyman123,leaf-user,,,,2
lazywei,leaf-user,,,,2
lbfamous,leaf-user,,,,2
lbj96347,user,51,51,102,97
lbn19920902,leaf-user,,,,4
lceberg,user,51,51,102,72
lcp0578,leaf-user,,,,3
lcxfs1991,user,51,51,102,105
lcyop,leaf-user,,,,7
ldcsaa,leaf-user,,,,2
lddlp,leaf-user,,,,2
ldilley,leaf-user,,,,2
ldoublem,leaf-user,,,,4
LeaderBiao,user,15,7,22,20
leafo,leaf-user,,,,4
leafsoar,user,51,0,51,52
leah,leaf-user,,,,7
leahceniza89,leaf-user,,,,2
leandro-lugaresi,leaf-user,,,,2
leandromatos,leaf-user,,,,2
leandrosimoes,user,4,10,14,12
learncodeacademy,leaf-user,,,,5
LeaVerou,leaf-user,,,,32
lecaoquochung,leaf-user,,,,3
lechuckcaptain,leaf-user,,,,2
lee134134134,leaf-user,,,,2
leebivip,leaf-user,,,,23
leebyron,leaf-user,,,,11
leecade,leaf-user,,,,4
leedut,leaf-user,,,,2
leehong2005,leaf-user,,,,2
leeight,leaf-user,,,,5
Leeiio,leaf-user,,,,3
Leejaywell,leaf-user,,,,2
Leeleo3x,leaf-user,,,,2
leeluolee,leaf-user,,,,13
leeowenowen,leaf-user,,,,2
leerduo,leaf-user,,,,2
leexiaosi,leaf-user,,,,2
leeyeh,leaf-user,,,,2
leeyongit,leaf-user,,,,2
LeeYoo,user,0,8,8,8
leezhang521,leaf-user,,,,2
LeFey,leaf-user,,,,3
leftstick,leaf-user,,,,5
Le-Fu,leaf-user,,,,4
legalcodes,leaf-user,,,,2
legend4917,leaf-user,,,,2
legeneek,user,45,51,96,100
legomushroom,leaf-user,,,,3
leichunfeng,leaf-user,,,,2
leifoolsen,user,47,51,98,70
leif-zhang,leaf-user,,,,2
leilee,leaf-user,,,,2
leinue,leaf-user,,,,2
leitwolf,leaf-user,,,,2
leixiaohua1020,leaf-user,,,,8
leizongmin,leaf-user,,,,20
lelandrichardson,leaf-user,,,,5
leminski,user,2,42,44,43
lemire,user,51,29,80,83
lemon0910,leaf-user,,,,2
lenaelle1987,leaf-user,,,,3
lengdefengren,leaf-user,,,,2
lengstrom,leaf-user,,,,3
lengyueyang,leaf-user,,,,2
LennyLinux,leaf-user,,,,2
lenybernard,leaf-user,,,,2
leo,leaf-user,,,,7
leo424y,leaf-user,,,,5
leobalter,leaf-user,,,,4
LeoCecilia,leaf-user,,,,5
LeoEatle,leaf-user,,,,2
LeoHuiyi,leaf-user,,,,2
leohxj,user,51,45,96,97
leoj3n,leaf-user,,,,4
leokelly,user,2,40,42,42
Leolewin,leaf-user,,,,12
LeonardoChirivi,user,13,44,57,46
leonardorifeli,leaf-user,,,,2
leonascimento,leaf-user,,,,3
leonlai,leaf-user,,,,3
leonlin14,leaf-user,,,,2
Leopoldthecoder,leaf-user,,,,2
leoqbc,leaf-user,,,,2
Leorowe,leaf-user,,,,2
leotrieu,user,51,0,51,52
LeoTsui,leaf-user,,,,2
leowang721,leaf-user,,,,2
leoyaojy,leaf-user,,,,3
leozdgao,leaf-user,,,,2
Leo-zhanglj,leaf-user,,,,2
lepture,user,51,51,102,140
lerosua,user,51,4,55,54
lerox,user,40,51,91,68
leslieclass,leaf-user,,,,2
LetHergo,leaf-user,,,,2
letiantian,leaf-user,,,,2
lettersfree,leaf-user,,,,3
LeuisKen,leaf-user,,,,2
LeungGeorge,user,4,15,19,16
levey,leaf-user,,,,7
levi0913,leaf-user,,,,3
Leviathan1995,leaf-user,,,,4
levionessa,leaf-user,,,,2
LevPasha,leaf-user,,,,2
levy9527,leaf-user,,,,2
lewis617,user,51,0,51,53
lex111,leaf-user,,,,2
LexieCore,user,12,48,60,50
lexrus,leaf-user,,,,6
leylaKapi,leaf-user,,,,2
lfkdsk,user,51,36,87,79
lfkid,leaf-user,,,,3
lfreneda,leaf-user,,,,3
LG27,leaf-user,,,,6
lgh06,leaf-user,,,,6
lght,leaf-user,,,,2
lgvalle,leaf-user,,,,5
lgz715314,user,0,5,5,5
lh3,user,51,3,54,64
LHM69,leaf-user,,,,2
lhmouse,leaf-user,,,,4
lhp9916,leaf-user,,,,2
lhqs,leaf-user,,,,2
lhwork,user,12,51,63,61
lhzsantana,user,51,51,102,77
liabru,leaf-user,,,,2
LiamBao,leaf-user,,,,2
liamghilardi,leaf-user,,,,5
liangbaochang,leaf-user,,,,4
liangchencl,user,9,20,29,20
liangfhNoDev,leaf-user,,,,3
LiangLJiang,leaf-user,,,,2
liangwenkai,leaf-user,,,,3
liangyali,leaf-user,,,,2
liangzeng,leaf-user,,,,2
liangzhitao,leaf-user,,,,2
lianzhh,leaf-user,,,,2
liaohuqiu,user,51,51,102,131
liaojinxing,leaf-user,,,,2
liaozr,leaf-user,,,,2
LibanTheDev,user,18,16,34,22
libchaos,leaf-user,,,,2
liberize,leaf-user,,,,2
Librazy,user,43,30,73,56
licangqiong,leaf-user,,,,2
lichenbuliren,leaf-user,,,,2
lichray,leaf-user,,,,3
lichuang,leaf-user,,,,5
licstar,leaf-user,,,,2
lidaobing,leaf-user,,,,2
LiDaQiang2016,leaf-user,,,,2
lidinghao,user,51,51,102,114
lidonghao1116,leaf-user,,,,2
liebe444ever,leaf-user,,,,2
liexusong,leaf-user,,,,2
lifebeatiful,leaf-user,,,,2
lifengand1992,leaf-user,,,,2
lifeqiuzhi520,leaf-user,,,,8
lifesign,leaf-user,,,,2
lifesinger,user,51,12,63,119
liftoff,leaf-user,,,,2
lightningtgc,user,51,46,97,97
lightSky,leaf-user,,,,3
lightszero,leaf-user,,,,2
lihaoyi,user,51,0,51,57
lihongxun945,leaf-user,,,,4
lihuiba,user,10,2,12,10
lihuimi,leaf-user,,,,4
Lijie0981,leaf-user,,,,3
lijiejie,leaf-user,,,,4
lijin-THU,leaf-user,,,,2
lijy91,leaf-user,,,,3
likang,user,26,47,73,69
likebeta,leaf-user,,,,2
likelet,user,18,6,24,20
liker12134,leaf-user,,,,4
likunyan,leaf-user,,,,2
lilijialiang,leaf-user,,,,2
lilingyu0620,leaf-user,,,,4
LiLittleXia,leaf-user,,,,2
lilydjwg,leaf-user,,,,3
liman123,user,28,12,40,40
limatheus,user,51,51,102,93
limichange,leaf-user,,,,2
limingyang2012,user,51,51,102,85
limodou,leaf-user,,,,3
limonte,leaf-user,,,,2
limu,leaf-user,,,,2
lina-fraij,leaf-user,,,,2
lincanbin,user,51,0,51,53
lincolon,user,5,12,17,15
lin-credible,leaf-user,,,,5
lindahua,leaf-user,,,,5
lindaliukas,leaf-user,,,,2
lindechun,leaf-user,,,,2
linearregression,leaf-user,,,,2
linesh-simplicity,user,51,51,102,100
linevich,leaf-user,,,,2
lineway,user,3,19,22,19
ling0322,leaf-user,,,,2
linghuxiaoximi,leaf-user,,,,2
lingoer,leaf-user,,,,4
lingsamuel,leaf-user,,,,4
LingyuCoder,leaf-user,,,,8
linhua55,user,17,51,68,68
lining0806,leaf-user,,,,2
Linjiayu6,leaf-user,,,,2
linjielangdang,user,4,7,11,7
linjk,leaf-user,,,,2
linkerlin,leaf-user,,,,3
linkgod,leaf-user,,,,2
linkkingjay,leaf-user,,,,2
linmq,user,10,51,61,57
linroid,leaf-user,,,,3
linrubo,leaf-user,,,,2
LinShuling16,leaf-user,,,,6
linshun,leaf-user,,,,2
lintool,leaf-user,,,,2
linuer,leaf-user,,,,5
LinusU,leaf-user,,,,2
linux-china,user,51,14,65,67
linxz,leaf-user,,,,2
linyiqun,leaf-user,,,,2
linyunjiang,leaf-user,,,,5
linyuwei,user,6,31,37,32
lionize,leaf-user,,,,2
LionNatsu,leaf-user,,,,3
LionSec,leaf-user,,,,2
liorvh,leaf-user,,,,3
lipi042222,leaf-user,,,,3
lipiji,user,51,51,102,101
lipten,leaf-user,,,,3
liqy,leaf-user,,,,2
lirui0081,leaf-user,,,,2
liruijiang,leaf-user,,,,3
lisa3907,leaf-user,,,,3
lisachenko,leaf-user,,,,2
lisael,leaf-user,,,,2
LisaNguyen,user,14,19,33,22
lisawray,leaf-user,,,,2
lisency,user,11,17,28,24
lishengzxc,leaf-user,,,,2
lisposter,leaf-user,,,,5
Lispre,leaf-user,,,,4
listen1,leaf-user,,,,3
litesuits,leaf-user,,,,15
litson,user,51,13,64,62
litten,leaf-user,,,,8
little6,leaf-user,,,,5
littlecarson,leaf-user,,,,2
littlecodersh,leaf-user,,,,2
Littlecowherd,leaf-user,,,,2
littledan,leaf-user,,,,2
littledu,leaf-user,,,,3
littlekign,leaf-user,,,,3
LittleNewGod,leaf-user,,,,2
littlerun,leaf-user,,,,2
little-snow,leaf-user,,,,2
LittleStar9637,leaf-user,,,,3
liu044100,leaf-user,,,,2
liu21st,leaf-user,,,,2
liubin,leaf-user,,,,7
LIUBOliubo,user,51,13,64,103
liu-dongyu,user,51,51,102,139
liufan321,leaf-user,,,,2
liuguiyangnwpu,leaf-user,,,,2
liuhaimingcn,leaf-user,,,,2
liuhaoer,leaf-user,,,,2
liuhea,leaf-user,,,,2
liuhong1happy,leaf-user,,,,4
liujianyong,user,2,11,13,12
LiuJiJiJi,leaf-user,,,,2
LiuJi-Jim,user,51,24,75,80
liujin834,user,9,12,21,17
LiuLang,leaf-user,,,,8
liuliangsir,leaf-user,,,,2
liuling07,leaf-user,,,,2
liumulin614,leaf-user,,,,2
liungkejin,user,29,19,48,44
liunian,leaf-user,,,,2
liushuangsally,leaf-user,,,,5
liutaofe,leaf-user,,,,3
liuweifeng,leaf-user,,,,2
liuwjchinal,leaf-user,,,,2
liuxd,leaf-user,,,,2
liuxiaodong20090512,leaf-user,,,,2
liuxinyu95,leaf-user,,,,2
liuxuewei,leaf-user,,,,2
liuyanshi,leaf-user,,,,2
liuyatao,leaf-user,,,,2
liuyidi,leaf-user,,,,2
liuyutao,leaf-user,,,,3
liuzhenangel,leaf-user,,,,2
liuzhike,leaf-user,,,,2
liuzhiyi1992,leaf-user,,,,3
liuzhoou,leaf-user,,,,3
livacengiz,user,45,51,96,82
Live5,leaf-user,,,,3
liveliang,leaf-user,,,,2
livid,leaf-user,,,,15
livingworld,leaf-user,,,,2
livoras,leaf-user,,,,12
livreprogramacao,leaf-user,,,,4
liwei78,leaf-user,,,,2
liweinan,leaf-user,,,,3
lix90,leaf-user,,,,2
lixiaoyan,leaf-user,,,,3
lixinliang,leaf-user,,,,2
li-xinyang,user,51,2,53,53
LixinZhang,user,43,3,46,44
lixuejiang,leaf-user,,,,7
lixyon37927,leaf-user,,,,3
liyahui,user,11,8,19,19
lizhanbin0214,leaf-user,,,,2
lizhangqu,leaf-user,,,,2
lizheming,leaf-user,,,,2
lizhengxian1991,leaf-user,,,,2
lizherui,leaf-user,,,,3
lizhijun81,leaf-user,,,,3
LizzHale,leaf-user,,,,2
lizzie,leaf-user,,,,4
LJ001,leaf-user,,,,13
ljcs,leaf-user,,,,2
ljharb,leaf-user,,,,13
lkalif,user,23,3,26,26
llazzaro,user,51,51,102,100
llfylwg,leaf-user,,,,2
llh911001,user,51,51,102,101
lloyd,leaf-user,,,,2
llpdzh,leaf-user,,,,4
llpj,leaf-user,,,,4
llSourcell,leaf-user,,,,5
llvm-mirror,leaf-user,,,,2
lmccart,leaf-user,,,,2
lmglg,leaf-user,,,,2
lmk123,leaf-user,,,,4
lmmsoft,leaf-user,,,,3
lmmx,leaf-user,,,,3
lmthang,leaf-user,,,,2
lmxin123,leaf-user,,,,2
lmyue,leaf-user,,,,2
lnsp,leaf-user,,,,2
localheinz,leaf-user,,,,5
lockys,leaf-user,,,,6
logatimi,leaf-user,,,,6
loghmanmaroofi8,leaf-user,,,,8
logicmoo,leaf-user,,,,11
logol,leaf-user,,,,2
loiane,leaf-user,,,,8
lois00,leaf-user,,,,3
lokesh,leaf-user,,,,2
loktar00,leaf-user,,,,2
lomereiter,user,45,15,60,53
lomoY,leaf-user,,,,2
longbai,leaf-user,,,,3
longcongduoi,leaf-user,,,,4
longld,user,51,0,51,51
longluo,leaf-user,,,,2
LongStrangeTrip,leaf-user,,,,2
longyuan5,leaf-user,,,,4
lonjoy,leaf-user,,,,3
loo2k,leaf-user,,,,2
LooJee,user,8,9,17,13
LookingLMH,leaf-user,,,,2
lookingstars,leaf-user,,,,5
looly,leaf-user,,,,3
Looorie,leaf-user,,,,2
loopj,leaf-user,,,,7
lordnynex,user,51,15,66,65
lordofthejars,user,51,0,51,51
Lorentzca,user,21,30,51,34
lornajane,user,51,0,51,52
lorrylockie,user,36,6,42,41
loschtreality,leaf-user,,,,2
LostCrew,leaf-user,,,,3
lotem,leaf-user,,,,4
lo-th,leaf-user,,,,2
loufq,leaf-user,,,,3
LouisShark,leaf-user,,,,2
LouisYuLin,leaf-user,,,,2
lourenzo,leaf-user,,,,2
loveandgoodatit,user,0,11,11,11
lovecn,leaf-user,,,,2
Loveice,leaf-user,,,,2
loveisbelief,user,2,12,14,12
loveJasmine,leaf-user,,,,2
LovelornPig,user,25,51,76,83
lovely-doge,leaf-user,,,,2
loverajoel,leaf-user,,,,2
loverows,leaf-user,,,,3
loveyoga,leaf-user,,,,2
loyso,user,5,10,15,12
lpereira,leaf-user,,,,2
lpirola,leaf-user,,,,2
lqs469,leaf-user,,,,4
lrasmus,user,5,5,10,8
lrlna,leaf-user,,,,3
lroolle,user,5,51,56,51
lrz,leaf-user,,,,2
lsanotes,leaf-user,,,,6
lsegal,leaf-user,,,,2
lsgoulart,user,23,51,74,54
lsgxeva,leaf-user,,,,7
lshb,leaf-user,,,,2
lsheble,user,4,5,9,8
lsjwzh,user,51,51,102,102
lskatz,user,13,11,24,21
lsmith77,leaf-user,,,,4
lsqy,leaf-user,,,,7
ltlovezh,leaf-user,,,,2
luajalla,leaf-user,,,,2
LucasAssuncao,leaf-user,,,,2
lucasbento,user,51,51,102,196
lucasbonanni,leaf-user,,,,2
LucasFrecia,user,9,11,20,11
lucasmlima08,user,11,35,46,35
lucasr,leaf-user,,,,6
lucasselliach,leaf-user,,,,8
luciaL,leaf-user,,,,6
lucidstack,user,19,24,43,39
lucien0coder,leaf-user,,,,3
Lucifier129,leaf-user,,,,5
lucky500,user,51,51,102,77
LuckyDogLee,leaf-user,,,,2
luckydrq,leaf-user,,,,3
LuckyJayce,leaf-user,,,,2
luckykun,leaf-user,,,,2
lucmichalski,leaf-user,,,,4
ludovicbenistant,leaf-user,,,,9
ludwigschreier,leaf-user,,,,2
luffy3,leaf-user,,,,3
luguodexxx,leaf-user,,,,2
luhanGitHub,user,0,3,3,3
luics,leaf-user,,,,5
luin,user,51,51,102,112
LuisFMG,leaf-user,,,,2
luisjnk,leaf-user,,,,38
luizfnunes,user,11,15,26,16
luizirber,leaf-user,,,,4
luizperes,leaf-user,,,,2
Lujango,leaf-user,,,,4
lujun9972,leaf-user,,,,2
luk4z7,user,44,51,95,90
lukaikai1989,leaf-user,,,,2
lukebond,leaf-user,,,,2
lukebuehler,user,38,3,41,39
lukecav,leaf-user,,,,4
lukego,leaf-user,,,,2
lukehaas,leaf-user,,,,2
lukehoban,leaf-user,,,,2
LukeLin,leaf-user,,,,3
lukesUbuntu,leaf-user,,,,14
lukewestby,leaf-user,,,,3
lukhnos,leaf-user,,,,2
lukkaslt,leaf-user,,,,2
lulei0908,leaf-user,,,,2
luliang6,leaf-user,,,,2
lumixraku,leaf-user,,,,6
LunaGao,user,15,7,22,18
Lunaticf,user,8,30,38,34
luobojiangzi,leaf-user,,,,2
luobotang,leaf-user,,,,2
luobotetian,leaf-user,,,,2
luohoufu,leaf-user,,,,7
luojinghui,leaf-user,,,,2
luojiyin1987,leaf-user,,,,2
Luolc,leaf-user,,,,2
luolinjia,user,10,1,11,10
luolonghao,leaf-user,,,,3
luoyjx,user,51,51,102,81
