Identifier,NodeType,followers,Following,connections,Degree
AshrafAlam,user,16,24,40,31
ashutoshpurushottam,leaf-user,,,,2
ashwinimanoj,leaf-user,,,,3
ASimumba,leaf-user,,,,2
asiosldh,leaf-user,,,,4
ask,user,51,51,102,102
askdaddy,leaf-user,,,,2
askerlee,leaf-user,,,,3
askmyoracle,leaf-user,,,,4
askn,leaf-user,,,,3
aslani606,user,7,1,8,7
aslihandincer,leaf-user,,,,2
asLody,leaf-user,,,,9
asmjahid,user,6,22,28,25
asnowwolf,leaf-user,,,,3
Aspsine,leaf-user,,,,5
assad2008,leaf-user,,,,2
Ass-Sniper,leaf-user,,,,2
astaxie,user,51,17,68,101
astimac,leaf-user,,,,3
asus4,leaf-user,,,,3
asweigart,leaf-user,,,,2
at15,leaf-user,,,,2
ata4,leaf-user,,,,2
atebits,leaf-user,,,,3
athityakumar,leaf-user,,,,2
atian25,user,51,51,102,112
atiw003,leaf-user,,,,2
atkrad,leaf-user,,,,2
atmos,leaf-user,,,,4
atonasting,leaf-user,,,,4
atosatto,leaf-user,,,,2
atrl,leaf-user,,,,2
Atry,leaf-user,,,,4
atufkas,leaf-user,,,,2
atvKumar,leaf-user,,,,2
atwbin,leaf-user,,,,2
atyuwen,leaf-user,,,,2
auchenberg,leaf-user,,,,4
audeSt,user,15,26,41,41
audreyr,leaf-user,,,,3
audreyt,user,51,0,51,62
auduno,leaf-user,,,,3
audy,leaf-user,,,,7
Aufree,leaf-user,,,,5
AugustLONG,user,11,51,62,61
aui,user,51,3,54,75
aungmyohtet,user,10,7,17,15
aureliojargas,leaf-user,,,,2
Aurif3x,leaf-user,,,,2
Austinthemighty,leaf-user,,,,2
Auto758,leaf-user,,,,13
autodataming,leaf-user,,,,3
autred,leaf-user,,,,2
AutuanLiu,leaf-user,,,,2
AutumnsWind,leaf-user,,,,2
auxten,leaf-user,,,,2
avalanche123,leaf-user,,,,2
avalond,leaf-user,,,,2
avanslaars,leaf-user,,,,2
avelino,leaf-user,,,,5
avereha,user,16,36,52,43
AveryLiu,leaf-user,,,,2
AvetisG,leaf-user,,,,2
AVGP,leaf-user,,,,2
AvianFlu,leaf-user,,,,2
Avikalp7,leaf-user,,,,2
AVINASH20KUMAR,user,0,2,2,2
avinassh,leaf-user,,,,3
avisrivastava254084,user,9,13,22,13
avital,leaf-user,,,,3
avoliva,user,16,15,31,21
a-voyager,leaf-user,,,,2
avsm,leaf-user,,,,2
awalgarg,leaf-user,,,,3
awctni00,leaf-user,,,,3
aweary,leaf-user,,,,2
awesomepeng,leaf-user,,,,2
AwledOmara,user,2,6,8,6
awong1900,leaf-user,,,,4
awpsawps12,leaf-user,,,,5
awseward,leaf-user,,,,2
AxAmat,leaf-user,,,,4
axolo,leaf-user,,,,2
Axtonsun,leaf-user,,,,2
Axure,leaf-user,,,,6
AyAmeng,leaf-user,,,,3
ayamflow,leaf-user,,,,2
ayanonagon,leaf-user,,,,3
aybuke,leaf-user,,,,4
ayende,leaf-user,,,,3
aymericdamien,leaf-user,,,,6
aytacozkan,leaf-user,,,,4
AyumiKai,leaf-user,,,,2
ayush15k1994,leaf-user,,,,6
ayush1997,leaf-user,,,,2
ayushoriginal,leaf-user,,,,80
azat-co,leaf-user,,,,5
azer,leaf-user,,,,8
azhararmar,user,1,3,4,4
aziz,leaf-user,,,,4
azmami,leaf-user,,,,2
b18arundhati,user,10,51,61,57
b1narygirl,leaf-user,,,,3
b1ueb0y,leaf-user,,,,3
b4b4r07,leaf-user,,,,2
babosa,leaf-user,,,,2
backjy,user,39,2,41,40
backToNature,user,17,12,29,19
badarsh2,leaf-user,,,,2
badlogic,leaf-user,,,,2
badu,leaf-user,,,,2
Badvibesforever,leaf-user,,,,2
bafish,leaf-user,,,,3
bagder,user,51,14,65,69
bahattincinic,leaf-user,,,,3
bahmutov,leaf-user,,,,2
Baichenghui,leaf-user,,,,4
BaiduFE,leaf-user,,,,4
bailnl,leaf-user,,,,2
baiwenhao,leaf-user,,,,3
